Fecha	Número de pedido	SKU	Tipo de transacción	Tipo de pago	Detalles del pago	Monto	Cantidad	Título del producto
13/07/2020			Otros	Otros	Monto de reserva actual	MXN$-182,899.08		
13/07/2020	702-5281218-2496242	20-BR7F-FCGT	Pago del pedido	Cargos de productos		MXN$3,870.69	1	Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
13/07/2020	702-5281218-2496242	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-387.07		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
13/07/2020	702-5281218-2496242	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-178.65		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
13/07/2020	702-5281218-2496242	20-BR7F-FCGT	Pago del pedido	Otros	Impuesto del producto	MXN$619.31		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
13/07/2020	702-7222994-5937000	PT-VL0G-IQEB	Otros	Reembolso de inventario de Logística de Amazon (Devolución de cliente)		MXN$5,767.06	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
13/07/2020	701-5088951-6353003	FK-2B92-ML2C	Pago del pedido	Cargos de productos		MXN$4,741.38	1	DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
13/07/2020	701-5088951-6353003	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-474.14		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
13/07/2020	701-5088951-6353003	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-82.95		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
13/07/2020	701-5088951-6353003	FK-2B92-ML2C	Pago del pedido	Otros	Impuesto del producto	MXN$758.62		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
12/07/2020	20071011HY		Tarifas de servicio	Tarifas de Amazon	Solicitud de retiro de inventario de Logística de Amazon: tarifa por devolución	MXN$-9.00		
12/07/2020	702-7036612-9261057	MN-7MDI-U1BM	Pago del pedido	Cargos de productos		MXN$343.97	1	ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
12/07/2020	702-7036612-9261057	MN-7MDI-U1BM	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-34.39		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
12/07/2020	702-7036612-9261057	MN-7MDI-U1BM	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-59.30		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
12/07/2020	702-7036612-9261057	MN-7MDI-U1BM	Pago del pedido	Otros	Impuesto del producto	MXN$55.03		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
12/07/2020	702-6087677-5888223	OJ-VU2Q-WRJV	Pago del pedido	Cargos de productos		MXN$2,327.59	1	Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
12/07/2020	702-6087677-5888223	OJ-VU2Q-WRJV	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-232.75		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
12/07/2020	702-6087677-5888223	OJ-VU2Q-WRJV	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-158.35		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
12/07/2020	702-6087677-5888223	OJ-VU2Q-WRJV	Pago del pedido	Otros	Impuesto del producto	MXN$372.41		Xerox WorkCentre 3025/BI - Impresora multifunción (Laser, 600 x 600 dpi, 1200 x 1200 dpi, A4, Azul, Color Blanco, 4800 x 4800 dpi)
11/07/2020	702-2967828-9794631	PT-VL0G-IQEB	Otros	Reembolso de inventario de Logística de Amazon (Devolución de cliente)		MXN$5,317.05	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Cargos de productos		MXN$1,551.72	1	Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-155.17		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Tarifas de Amazon	Devolución de cargo por envío	MXN$-50.86		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-64.13		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Otros	Envío	MXN$50.86		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Otros	Impuesto de envío	MXN$8.14		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-8806840-2361859	SY-63AL-PF5L	Pago del pedido	Otros	Impuesto del producto	MXN$248.28		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Cargos de productos		MXN$4,741.38	1	DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-474.14		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-82.95		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-2829424-7000239	FK-2B92-ML2C	Pago del pedido	Otros	Impuesto del producto	MXN$758.62		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Cargos de productos		MXN$3,870.69	1	Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-387.07		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
10/07/2020	701-3023322-7477018	20-BR7F-FCGT	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-178.65		Xerox IMPXRX2370 Impresora Multifuncional Monocromática B215_Dni, 600 X 600 PPP, 31 Ppm, 250 Hojas, 30000 Páginas por Mes
